X1,Y1,X2,Y2,Confidence,Class
217,613,518,704,0.84,Car
289,619,512,704,0.52,Car
0,175,44,230,0.32,Dummy
217,613,519,704,0.87,Car
216,613,519,704,0.85,Car
0,175,44,230,0.32,Dummy
117,157,208,209,0.27,Dummy
217,613,519,704,0.86,Car
218,614,519,704,0.86,Car
635,205,700,267,0.47,Dummy
600,185,629,216,0.3,Dummy
221,613,518,704,0.87,Car
598,184,628,217,0.49,AnotherCar
0,175,44,229,0.27,Dummy
219,612,519,704,0.87,Car
595,183,626,214,0.7,AnotherCar
217,614,518,704,0.84,Car
634,205,699,266,0.47,Dummy
595,184,625,212,0.37,AnotherCar
218,612,520,704,0.84,Car
281,620,513,704,0.55,Car
0,176,43,230,0.32,Dummy
218,612,519,704,0.85,Car
0,175,44,230,0.28,Dummy
219,612,518,704,0.87,Car
0,175,44,229,0.3,Dummy
217,612,519,704,0.85,Car
629,205,699,266,0.41,Dummy
592,182,625,215,0.36,AnotherCar
0,175,43,230,0.29,Dummy
217,613,518,704,0.86,Car
595,180,628,212,0.7,AnotherCar
632,205,699,266,0.44,Dummy
218,613,519,704,0.86,Car
602,179,634,215,0.51,AnotherCar
219,613,517,704,0.84,Car
610,178,642,212,0.38,AnotherCar
0,175,44,230,0.27,Dummy
219,611,518,704,0.85,Car
0,175,43,230,0.29,Dummy
216,613,518,704,0.84,Car
289,619,512,704,0.54,Car
0,175,44,230,0.27,Dummy
217,612,518,704,0.84,Car
296,619,512,704,0.59,Car
218,614,518,703,0.86,Car
216,613,519,704,0.82,Car
290,620,512,704,0.48,Car
220,613,518,704,0.87,Car
217,612,518,704,0.84,Car
117,158,208,209,0.28,Dummy
0,175,44,230,0.27,Dummy
216,613,518,704,0.85,Car
216,613,519,704,0.83,Car
298,618,512,704,0.54,Car
221,613,518,704,0.86,Car
216,613,518,704,0.85,Car
292,620,512,704,0.55,Car
0,174,44,229,0.27,Dummy
217,613,518,704,0.87,Car
0,175,44,229,0.28,Dummy
219,614,518,704,0.85,Car
293,619,512,704,0.57,Car
217,613,517,704,0.84,Car
293,620,512,704,0.53,Car
218,612,518,704,0.86,Car
0,175,43,230,0.29,Dummy
117,157,208,210,0.27,Dummy
231,611,528,704,0.85,Car
219,612,518,704,0.85,Car
218,613,518,703,0.85,Car
298,618,512,704,0.53,Car
217,614,518,703,0.85,Car
301,619,512,704,0.62,Car
217,613,518,704,0.85,Car
0,174,44,230,0.26,Dummy
217,614,518,704,0.84,Car
229,611,527,704,0.85,Car
217,612,518,704,0.84,Car
294,618,512,704,0.56,Car
0,174,44,230,0.29,Dummy
631,203,702,269,0.28,Dummy
216,613,519,704,0.84,Car
294,619,512,704,0.56,Car
0,174,44,230,0.26,Dummy
216,613,518,704,0.85,Car
219,613,518,704,0.84,Car
219,613,519,704,0.85,Car
216,612,519,704,0.85,Car
231,608,532,704,0.84,Car
0,175,44,230,0.29,Dummy
272,621,510,704,0.26,Car
218,612,518,704,0.85,Car
287,618,512,704,0.43,Car
631,203,702,268,0.31,Dummy
218,612,518,704,0.86,Car
293,619,512,704,0.57,Car
220,613,518,704,0.86,Car
217,612,518,704,0.84,Car
298,620,512,704,0.53,Car
217,613,518,704,0.84,Car
297,619,512,704,0.55,Car
221,612,518,704,0.86,Car
0,175,44,230,0.26,Dummy
217,612,518,704,0.83,Car
293,619,512,704,0.55,Car
0,174,44,230,0.27,Dummy
217,611,519,704,0.86,Car
217,612,517,704,0.86,Car
303,617,512,704,0.56,Car
216,612,519,704,0.84,Car
292,618,512,704,0.56,Car
217,612,519,704,0.85,Car
287,619,513,704,0.55,Car
217,612,518,704,0.85,Car
295,619,512,704,0.55,Car
217,613,517,704,0.85,Car
294,619,512,704,0.58,Car
217,613,517,704,0.86,Car
220,613,518,704,0.86,Car
630,203,702,268,0.32,Dummy
0,175,44,229,0.26,Dummy
218,614,518,704,0.86,Car
293,619,512,704,0.57,Car
219,613,518,704,0.87,Car
118,158,208,211,0.26,Dummy
217,613,519,704,0.84,Car
291,618,512,704,0.52,Car
630,203,702,269,0.26,Dummy
218,612,518,704,0.86,Car
218,612,518,704,0.85,Car
290,618,512,704,0.55,Car
218,612,518,704,0.86,Car
287,618,512,704,0.51,Car
0,174,44,229,0.27,Dummy
630,203,702,269,0.26,Dummy
217,612,519,704,0.84,Car
284,620,512,704,0.53,Car
218,613,518,704,0.86,Car
217,613,518,704,0.85,Car
630,203,702,269,0.26,Dummy
218,612,518,704,0.86,Car
286,618,512,704,0.53,Car
219,612,518,704,0.85,Car
218,613,518,704,0.85,Car
630,202,703,269,0.38,Dummy
217,613,518,704,0.85,Car
295,620,512,704,0.53,Car
218,612,518,704,0.86,Car
218,613,519,704,0.86,Car
630,203,702,268,0.29,Dummy
217,612,518,704,0.84,Car
282,620,512,704,0.54,Car
630,202,703,268,0.28,Dummy
219,612,519,704,0.86,Car
630,202,702,267,0.35,Dummy
220,613,518,704,0.87,Car
630,202,702,267,0.32,Dummy
217,611,517,704,0.85,Car
630,202,703,268,0.34,Dummy
217,612,518,704,0.86,Car
220,613,518,704,0.86,Car
0,171,44,230,0.28,Dummy
218,611,517,704,0.86,Car
289,620,512,704,0.52,Car
217,611,518,704,0.85,Car
630,202,702,268,0.39,Dummy
217,612,518,704,0.85,Car
630,202,702,268,0.42,Dummy
0,172,44,229,0.26,Dummy
217,613,518,704,0.84,Car
630,203,702,268,0.31,Dummy
220,612,518,704,0.87,Car
0,175,44,230,0.3,Dummy
630,203,702,268,0.26,Dummy
218,613,518,704,0.85,Car
216,612,518,704,0.86,Car
288,618,512,704,0.57,Car
218,612,519,704,0.86,Car
0,175,43,229,0.34,Dummy
630,202,702,268,0.3,Dummy
219,612,519,704,0.86,Car
218,613,519,704,0.85,Car
0,173,44,230,0.31,Dummy
630,203,702,269,0.26,Dummy
218,613,518,704,0.84,Car
216,612,519,704,0.84,Car
291,619,512,704,0.55,Car
217,612,519,704,0.85,Car
216,611,518,704,0.85,Car
285,618,512,704,0.54,Car
218,613,518,704,0.86,Car
216,613,518,704,0.84,Car
289,620,512,704,0.55,Car
630,202,702,268,0.26,Dummy
217,612,519,704,0.85,Car
219,613,519,704,0.87,Car
217,613,519,704,0.85,Car
218,613,518,704,0.85,Car
217,612,518,704,0.86,Car
630,202,703,266,0.26,Dummy
217,613,518,704,0.85,Car
0,175,44,230,0.28,Dummy
232,610,530,704,0.84,Car
218,613,519,704,0.85,Car
216,613,519,704,0.85,Car
293,619,513,704,0.56,Car
218,613,519,704,0.84,Car
216,614,519,704,0.84,Car
630,203,702,269,0.29,Dummy
218,612,519,704,0.85,Car
218,613,518,704,0.85,Car
287,619,513,704,0.56,Car
0,174,44,229,0.27,Dummy
219,612,519,704,0.84,Car
218,614,519,703,0.85,Car
290,620,512,704,0.55,Car
117,157,208,210,0.28,Dummy
220,613,519,704,0.86,Car
0,174,44,230,0.26,Dummy
218,613,519,704,0.86,Car
219,612,519,704,0.84,Car
276,623,509,703,0.27,Car
217,613,519,704,0.84,Car
290,619,512,704,0.59,Car
218,612,519,704,0.84,Car
283,621,512,704,0.55,Car
630,202,702,269,0.37,Dummy
217,613,518,704,0.84,Car
216,614,519,704,0.84,Car
116,157,208,210,0.26,Dummy
218,613,518,704,0.86,Car
116,157,208,209,0.34,Dummy
0,175,44,230,0.26,Dummy
218,613,518,704,0.85,Car
218,613,519,704,0.86,Car
0,174,44,230,0.27,Dummy
218,613,518,704,0.86,Car
117,157,208,209,0.32,Dummy
219,613,519,704,0.84,Car
117,158,208,210,0.26,Dummy
217,613,519,704,0.85,Car
630,203,702,267,0.26,Dummy
218,613,519,704,0.86,Car
217,613,519,704,0.85,Car
217,613,519,704,0.84,Car
117,157,208,210,0.26,Dummy
216,613,519,704,0.86,Car
0,174,44,230,0.29,Dummy
117,157,208,211,0.28,Dummy
217,614,518,704,0.85,Car
629,202,703,267,0.36,Dummy
0,175,44,230,0.26,Dummy
217,613,518,704,0.85,Car
0,173,44,229,0.29,Dummy
117,157,208,210,0.28,Dummy
217,613,519,704,0.86,Car
218,613,519,704,0.85,Car
0,175,44,230,0.27,Dummy
220,614,518,704,0.86,Car
230,612,529,703,0.84,Car
218,614,519,704,0.85,Car
218,613,518,704,0.85,Car
219,613,518,704,0.85,Car
0,174,44,229,0.26,Dummy
218,613,519,704,0.85,Car
219,614,518,704,0.86,Car
117,157,208,209,0.29,Dummy
218,613,518,704,0.85,Car
293,620,512,704,0.59,Car
116,157,208,210,0.27,Dummy
0,174,44,230,0.26,Dummy
218,613,518,704,0.84,Car
117,157,208,210,0.28,Dummy
630,203,702,269,0.27,Dummy
220,614,519,704,0.86,Car
218,614,519,704,0.85,Car
116,157,208,210,0.31,Dummy
0,175,44,229,0.27,Dummy
217,614,518,704,0.85,Car
217,614,519,704,0.86,Car
0,174,43,230,0.27,Dummy
217,613,519,704,0.85,Car
219,613,519,704,0.88,Car
0,175,43,230,0.29,Dummy
219,613,519,704,0.85,Car
0,174,43,230,0.28,Dummy
117,157,208,209,0.27,Dummy
216,613,519,704,0.85,Car
0,175,44,230,0.32,Dummy
217,614,520,704,0.85,Car
117,157,208,209,0.31,Dummy
217,613,519,704,0.85,Car
117,158,207,208,0.29,Dummy
0,174,44,229,0.27,Dummy
217,613,520,704,0.86,Car
630,202,702,268,0.26,Dummy
218,613,518,704,0.86,Car
219,613,518,704,0.84,Car
116,157,208,209,0.35,Dummy
0,175,44,230,0.3,Dummy
230,611,529,704,0.84,Car
0,175,44,229,0.31,Dummy
117,157,208,209,0.28,Dummy
230,615,529,703,0.86,Car
0,175,43,230,0.29,Dummy
217,614,519,704,0.84,Car
0,175,44,229,0.3,Dummy
117,157,208,210,0.27,Dummy
217,614,519,704,0.85,Car
218,613,519,704,0.85,Car
218,613,519,704,0.86,Car
0,175,44,229,0.26,Dummy
216,614,519,704,0.85,Car
285,620,512,704,0.55,Car
0,175,44,230,0.27,Dummy
218,614,518,704,0.85,Car
0,175,43,230,0.32,Dummy
217,614,519,704,0.84,Car
230,613,529,703,0.85,Car
